chr	ENSG	symbol	gene_type	gene_length
chr1	ENSG00000203897.3	SPATA42	antisense	532
chr1	ENSG00000203910.7	C1orf146	protein_coding	824
chr1	ENSG00000203914.4	HSP90B3P	processed_pseudogene	1566
chr1	ENSG00000203943.7	SAMD13	protein_coding	1563
chr1	ENSG00000203963.10	C1orf141	protein_coding	2145
chr1	ENSG00000203965.11	EFCAB7	protein_coding	621
chr1	ENSG00000203985.9	LDLRAD1	protein_coding	2241
chr1	ENSG00000203995.8	ZYG11A	protein_coding	3929
chr1	ENSG00000204006.7	C1orf185	protein_coding	910
chr1	ENSG00000204060.5	FOXO6	protein_coding	2396
chr1	ENSG00000204084.11	INPP5B	protein_coding	3887
chr1	ENSG00000204138.11	PHACTR4	protein_coding	6176
chr1	ENSG00000204160.10	ZDHHC18	protein_coding	5012
chr1	ENSG00000204178.8	TMEM57	protein_coding	3285
chr1	ENSG00000204219.8	TCEA3	protein_coding	1548
chr1	ENSG00000204362.5	RP11-380J14.1	lincRNA	4673
chr1	ENSG00000204464.6	C1orf195	protein_coding	253
chr1	ENSG00000204478.8	PRAMEF20	protein_coding	1593
chr1	ENSG00000204479.4	PRAMEF17	protein_coding	1575
chr1	ENSG00000204480.7	PRAMEF19	protein_coding	1230
chr1	ENSG00000204481.7	PRAMEF14	protein_coding	1330
chr1	ENSG00000204501.5	PRAMEF9	protein_coding	1596
chr1	ENSG00000204505.4	PRAMEF25	protein_coding	1859
chr1	ENSG00000204510.4	PRAMEF7	protein_coding	1588
chr1	ENSG00000204518.2	AADACL4	protein_coding	1571
chr1	ENSG00000204624.7	PTCHD2	protein_coding	908
chr1	ENSG00000204859.10	ZBTB48	protein_coding	1047
chr1	ENSG00000205090.7	TMEM240	protein_coding	714
chr1	ENSG00000205116.3	TMEM88B	protein_coding	490
chr1	ENSG00000205231.1	TTLL10-AS1	antisense	3530
chr1	ENSG00000206585.1	RNVU1-7	snRNA	163
chr1	ENSG00000206595.1	RNU6-877P	snRNA	106
chr1	ENSG00000206620.1	SNORD45C	snoRNA	78
chr1	ENSG00000206627.1	RNU6-969P	snRNA	104
chr1	ENSG00000206635.1	RNU6-1062P	snRNA	106
chr1	ENSG00000206637.1	SNORA70	snoRNA	134
chr1	ENSG00000206640.1	Y_RNA	misc_RNA	104
chr1	ENSG00000206651.1	Y_RNA	misc_RNA	112
chr1	ENSG00000206652.1	RNU1-1	snRNA	163
chr1	ENSG00000206654.1	RNU6-608P	snRNA	103
chr1	ENSG00000206659.1	Y_RNA	misc_RNA	101
chr1	ENSG00000206679.1	Y_RNA	misc_RNA	98
chr1	ENSG00000206680.1	SNORD21	snoRNA	94
chr1	ENSG00000206684.1	RNU6-157P	snRNA	106
chr1	ENSG00000206692.1	Y_RNA	misc_RNA	116
chr1	ENSG00000206700.1	RNU6-723P	snRNA	106
chr1	ENSG00000206704.1	Y_RNA	misc_RNA	100
chr1	ENSG00000206737.1	RNVU1-18	snRNA	163
chr1	ENSG00000206762.1	RNU6-418P	snRNA	106
chr1	ENSG00000206764.1	RNU6-152P	snRNA	106
chr1	ENSG00000206767.1	RNU6-949P	snRNA	106
chr1	ENSG00000206779.1	Y_RNA	misc_RNA	100
chr1	ENSG00000206791.1	RNU1-129P	snRNA	166
chr1	ENSG00000206803.1	RNU6-968P	snRNA	106
chr1	ENSG00000206817.1	Y_RNA	misc_RNA	99
chr1	ENSG00000206828.1	U1	snRNA	163
chr1	ENSG00000206832.1	RNU6V	snRNA	106
chr1	ENSG00000206835.1	RNU1-74P	snRNA	170
chr1	ENSG00000206878.1	SNORA51	snoRNA	124
chr1	ENSG00000206880.1	RNU6-1310P	snRNA	106
chr1	ENSG00000206887.1	RNU6-1008P	snRNA	103
chr1	ENSG00000206888.1	RNU6-48P	snRNA	106
chr1	ENSG00000206905.1	Y_RNA	misc_RNA	103
chr1	ENSG00000206921.1	RNU6-481P	snRNA	106
chr1	ENSG00000206931.1	RNU6-1042P	snRNA	106
chr1	ENSG00000206935.1	RNU6-514P	snRNA	106
chr1	ENSG00000206980.1	RNU6-662P	snRNA	103
chr1	ENSG00000206981.1	RNU6-40P	snRNA	106
chr1	ENSG00000206990.1	Y_RNA	misc_RNA	102
chr1	ENSG00000206999.1	RNU6-622P	snRNA	102
chr1	ENSG00000207005.1	RNU1-2	snRNA	163
chr1	ENSG00000207022.1	SNORA51	snoRNA	123
chr1	ENSG00000207039.1	Y_RNA	misc_RNA	101
chr1	ENSG00000207056.1	RNU1-8P	snRNA	164
chr1	ENSG00000207080.2	Y_RNA	misc_RNA	107
chr1	ENSG00000207082.1	RNU6-171P	snRNA	106
chr1	ENSG00000207095.1	RNU6-424P	snRNA	104
chr1	ENSG00000207108.1	Y_RNA	misc_RNA	100
chr1	ENSG00000207134.1	RNU6-106P	snRNA	106
chr1	ENSG00000207139.1	Y_RNA	misc_RNA	100
chr1	ENSG00000207144.1	RNU6-1297P	snRNA	103
chr1	ENSG00000207149.1	RNU6-465P	snRNA	100
chr1	ENSG00000207181.1	SNORA14B	snoRNA	134
chr1	ENSG00000207190.1	RNU6-809P	snRNA	106
chr1	ENSG00000207194.1	RNU6-1026P	snRNA	107
chr1	ENSG00000207205.1	RNVU1-15	snRNA	164
chr1	ENSG00000207209.1	Y_RNA	misc_RNA	101
chr1	ENSG00000207234.1	RNU6-125P	snRNA	106
chr1	ENSG00000207237.1	RNU6-110P	snRNA	103
chr1	ENSG00000207241.1	SNORD45A	snoRNA	83
chr1	ENSG00000207256.1	RNU6-880P	snRNA	106
chr1	ENSG00000207302.1	Y_RNA	misc_RNA	109
chr1	ENSG00000207321.1	RNU6-160P	snRNA	106
chr1	ENSG00000207326.1	Y_RNA	misc_RNA	113
chr1	ENSG00000207328.1	RNU6-636P	snRNA	106
chr1	ENSG00000207340.1	RNVU1-10	snRNA	163
chr1	ENSG00000207341.1	RNA5SP64	rRNA	106
chr1	ENSG00000207349.1	RNVU1-17	snRNA	163
chr1	ENSG00000207356.1	Y_RNA	misc_RNA	108
chr1	ENSG00000207379.1	Y_RNA	misc_RNA	106
chr1	ENSG00000207389.1	RNU1-4	snRNA	163
chr1	ENSG00000207421.1	SNORD38B	snoRNA	66
chr1	ENSG00000207434.1	RNU6-1072P	snRNA	106
chr1	ENSG00000207451.1	RNU6-291P	snRNA	106
chr1	ENSG00000207466.1	Y_RNA	misc_RNA	100
chr1	ENSG00000207472.1	RNU6-41P	snRNA	106
chr1	ENSG00000207475.1	SNORA80E	snoRNA	136
chr1	ENSG00000207491.1	RNU6-423P	snRNA	103
chr1	ENSG00000207501.1	RNVU1-14	snRNA	163
chr1	ENSG00000207502.1	SNORA42	snoRNA	133
chr1	ENSG00000207504.1	RNU6-1031P	snRNA	106
chr1	ENSG00000207508.1	RNU6-1237P	snRNA	106
chr1	ENSG00000207511.1	RNU6-771P	snRNA	106
chr1	ENSG00000207513.1	RNU1-3	snRNA	163
chr1	ENSG00000207523.1	SNORA66	snoRNA	132
chr1	ENSG00000207590.1	MIR215	miRNA	109
chr1	ENSG00000207606.1	MIR554	miRNA	95
chr1	ENSG00000207607.2	MIR200A	miRNA	110
chr1	ENSG00000207624.1	MIR194-1	miRNA	84
chr1	ENSG00000207709.2	MIR197	miRNA	74
chr1	ENSG00000207720.1	MIR555	miRNA	95
chr1	ENSG00000207721.1	MIR186	miRNA	85
chr1	ENSG00000207729.2	MIR556	miRNA	108
chr1	ENSG00000207730.2	MIR200B	miRNA	110
chr1	ENSG00000207750.1	MIR553	miRNA	67
chr1	ENSG00000207759.1	MIR181A1	miRNA	109
chr1	ENSG00000207776.1	MIR551A	miRNA	95
chr1	ENSG00000207865.1	MIR34A	miRNA	109
chr1	ENSG00000207933.2	MIR9-1	miRNA	107
chr1	ENSG00000207941.1	MIR552	miRNA	95
chr1	ENSG00000207949.1	MIR214	miRNA	109
chr1	ENSG00000207962.1	MIR30C1	miRNA	88
chr1	ENSG00000207974.1	MIR557	miRNA	97
chr1	ENSG00000207975.1	MIR181B1	miRNA	109
chr1	ENSG00000208024.1	MIR199A2	miRNA	109
chr1	ENSG00000211451.10	GNRHR2	unitary_pseudogene	1076
chr1	ENSG00000211452.9	DIO1	protein_coding	705
chr1	ENSG00000211454.12	AKR7L	polymorphic_pseudogene	1979
chr1	ENSG00000211525.2	BX323860.1	miRNA	68
chr1	ENSG00000211543.2	MIR320B1	miRNA	78
chr1	ENSG00000211575.2	MIR760	miRNA	107
chr1	ENSG00000211581.1	MIR765	miRNA	113
chr1	ENSG00000212039.1	AL592205.1	miRNA	93
chr1	ENSG00000212044.2	AL360091.1	miRNA	91
chr1	ENSG00000212076.1	MIR761	miRNA	69
chr1	ENSG00000212086.1	AL390119.1	miRNA	90
chr1	ENSG00000212094.3	AC241377.1	miRNA	91
chr1	ENSG00000212144.1	U8	snoRNA	127
chr1	ENSG00000212157.1	RNU6-1319P	snRNA	103
chr1	ENSG00000212161.1	SNORD64	snoRNA	66
chr1	ENSG00000212187.1	SNORA26	snoRNA	121
chr1	ENSG00000212205.1	Y_RNA	misc_RNA	87
chr1	ENSG00000212230.1	RNU6-747P	snRNA	103
chr1	ENSG00000212237.1	RNA5SP18	rRNA	120
chr1	ENSG00000212248.1	RNU6-750P	snRNA	106
chr1	ENSG00000212257.1	RNU6-1176P	snRNA	106
chr1	ENSG00000212266.1	SNORA40	snoRNA	121
chr1	ENSG00000212292.1	RNU6-239P	snRNA	98
chr1	ENSG00000212308.1	RNA5SP23	rRNA	104
chr1	ENSG00000212338.1	SNORA67	snoRNA	106
chr1	ENSG00000212360.1	RNU6-1177P	snRNA	103
chr1	ENSG00000212366.1	RNU6-1246P	snRNA	106
chr1	ENSG00000212385.1	RNU6-817P	snRNA	103
chr1	ENSG00000212398.1	RNU6-1248P	snRNA	63
chr1	ENSG00000212459.1	RNU6-695P	snRNA	103
chr1	ENSG00000212512.2	Y_RNA	misc_RNA	102
chr1	ENSG00000212527.1	RNA5SP63	rRNA	111
chr1	ENSG00000212538.2	U3	snoRNA	203
chr1	ENSG00000212541.1	RNU6-510P	snRNA	107
chr1	ENSG00000212601.1	RNA5SP53	rRNA	119
chr1	ENSG00000212610.2	U3	snoRNA	209
chr1	ENSG00000212624.1	SNORA26	snoRNA	121
chr1	ENSG00000212916.4	MAP10	protein_coding	3515
chr1	ENSG00000213026.4	CFL1P4	processed_pseudogene	497
chr1	ENSG00000213028.3	RP11-108F13.2	processed_pseudogene	905
chr1	ENSG00000213029.3	SPHAR	protein_coding	647
chr1	ENSG00000213032.3	NDUFA3P3	processed_pseudogene	249
chr1	ENSG00000213033.4	AURKAPS1	transcribed_processed_pseudogene	1211
chr1	ENSG00000213036.3	RP11-365D23.4	processed_pseudogene	574
chr1	ENSG00000213041.4	RP11-383G10.3	processed_pseudogene	551
chr1	ENSG00000213045.3	RP11-532L16.1	processed_pseudogene	516
chr1	ENSG00000213046.4	EEF1A1P32	unprocessed_pseudogene	1344
chr1	ENSG00000213047.10	DENND1B	protein_coding	6951
chr1	ENSG00000213051.3	RPL5P5	processed_pseudogene	892
chr1	ENSG00000213057.5	C1orf220	lincRNA	573
chr1	ENSG00000213058.3	RP4-765C7.2	processed_pseudogene	356
chr1	ENSG00000213060.4	RP4-612B18.3	processed_pseudogene	422
chr1	ENSG00000213062.4	RP1-206D15.6	lincRNA	910
chr1	ENSG00000213063.3	RPL29P7	processed_pseudogene	456
chr1	ENSG00000213064.8	SFT2D2	protein_coding	659
chr1	ENSG00000213068.3	RP11-277B15.1	processed_pseudogene	414
chr1	ENSG00000213070.3	HMGB3P6	processed_pseudogene	597
chr1	ENSG00000213075.7	RPL31P11	transcribed_processed_pseudogene	1557
chr1	ENSG00000213080.3	RP11-312J18.5	processed_pseudogene	1096
chr1	ENSG00000213085.8	CFAP45	protein_coding	669
chr1	ENSG00000213088.8	ACKR1	protein_coding	1899
chr1	ENSG00000213171.2	LINGO4	protein_coding	3377
chr1	ENSG00000213172.3	RP1-228H13.2	processed_pseudogene	417
chr1	ENSG00000213190.3	MLLT11	protein_coding	4073
chr1	ENSG00000213226.4	RP11-337C18.4	processed_pseudogene	958
chr1	ENSG00000213240.8	NOTCH2NL	protein_coding	3390
chr1	ENSG00000213244.3	HIST2H3DP1	unprocessed_pseudogene	415
chr1	ENSG00000213262.3	AL365331.2	processed_pseudogene	827
chr1	ENSG00000213281.4	NRAS	protein_coding	4442
chr1	ENSG00000213366.11	GSTM2	protein_coding	1722
chr1	ENSG00000213421.4	RP11-84O12.2	processed_pseudogene	782
chr1	ENSG00000213478.2	CFL1P2	processed_pseudogene	683
chr1	ENSG00000213512.1	GBP7	protein_coding	2443
chr1	ENSG00000213516.8	RBMXL1	protein_coding	4797
chr1	ENSG00000213540.3	RP11-486G15.1	processed_pseudogene	492
chr1	ENSG00000213559.4	HNRNPA1P64	processed_pseudogene	921
chr1	ENSG00000213560.4	RP11-386I14.3	processed_pseudogene	555
chr1	ENSG00000213561.4	RP11-386I14.2	processed_pseudogene	765
chr1	ENSG00000213579.3	RP4-595K12.1	processed_pseudogene	456
chr1	ENSG00000213625.7	LEPROT	protein_coding	489
chr1	ENSG00000213690.3	RP11-513D4.1	processed_pseudogene	509
chr1	ENSG00000213703.2	RP5-849H19.2	processed_pseudogene	545
chr1	ENSG00000213735.2	ANAPC10P1	processed_pseudogene	555
chr1	ENSG00000213987.4	RP11-399E6.2	processed_pseudogene	312
chr1	ENSG00000214114.7	MYCBP	protein_coding	2813
chr1	ENSG00000214141.4	ACTN4P2	processed_pseudogene	1890
chr1	ENSG00000214144.3	RP11-488L18.1	processed_pseudogene	1940
chr1	ENSG00000214193.8	SH3D21	protein_coding	1154
chr1	ENSG00000214204.4	HNRNPA1P43	processed_pseudogene	909
chr1	ENSG00000214262.4	ANKRD36BP1	transcribed_processed_pseudogene	1778
chr1	ENSG00000214796.7	RP11-480I12.5	transcribed_unprocessed_pseudogene	1832
chr1	ENSG00000214812.3	RP5-1053E7.3	processed_pseudogene	555
chr1	ENSG00000214837.7	LINC01347	transcribed_unprocessed_pseudogene	3823
chr1	ENSG00000214973.3	CHCHD3P3	processed_pseudogene	639
chr1	ENSG00000215014.4	RP5-832C2.5	lincRNA	2100
chr1	ENSG00000215149.3	KRT18P32	processed_pseudogene	1286
chr1	ENSG00000215381.3	RP5-1057J7.1	processed_pseudogene	459
chr1	ENSG00000215520.3	RPS4XP4	processed_pseudogene	762
chr1	ENSG00000215695.1	RSC1A1	protein_coding	1853
chr1	ENSG00000215704.8	CELA2B	protein_coding	804
chr1	ENSG00000215717.5	TMEM167B	protein_coding	3727
chr1	ENSG00000215720.4	RP1-21O18.3	processed_pseudogene	708
chr1	ENSG00000215784.5	FAM72D	protein_coding	2393
chr1	ENSG00000215785.2	CFL1P6	processed_pseudogene	492
chr1	ENSG00000215788.8	TNFRSF25	protein_coding	1587
chr1	ENSG00000215790.5	SLC35E2	protein_coding	2071
chr1	ENSG00000215795.2	RP11-488L18.3	processed_pseudogene	1669
chr1	ENSG00000215796.3	RP11-551G24.2	processed_pseudogene	1230
chr1	ENSG00000215800.2	RSL24D1P4	processed_pseudogene	483
chr1	ENSG00000215802.3	RFKP1	transcribed_processed_pseudogene	427
chr1	ENSG00000215805.3	RP11-438O11.1	processed_pseudogene	1458
chr1	ENSG00000215808.2	LINC01139	lincRNA	1535
chr1	ENSG00000215811.5	BTNL10	unprocessed_pseudogene	865
chr1	ENSG00000215812.5	ZNF847P	unprocessed_pseudogene	1072
chr1	ENSG00000215817.4	ZC3H11B	processed_pseudogene	2435
chr1	ENSG00000215819.3	KRT18P12	processed_pseudogene	1272
chr1	ENSG00000215833.3	QRSL1P1	processed_pseudogene	1539
chr1	ENSG00000215834.7	FMO9P	unitary_pseudogene	1598
chr1	ENSG00000215835.2	RP11-9L18.2	processed_pseudogene	1968
chr1	ENSG00000215838.4	RP11-466F5.6	transcribed_processed_pseudogene	1212
chr1	ENSG00000215840.3	RP11-122G18.7	processed_pseudogene	882
chr1	ENSG00000215845.9	TSTD1	protein_coding	589
chr1	ENSG00000215846.6	MPTX1	processed_pseudogene	608
chr1	ENSG00000215853.3	RPTN	protein_coding	3566
chr1	ENSG00000215859.7	RP6-74O6.2	lincRNA	3489
chr1	ENSG00000215861.5	WI2-1896O14.1	unprocessed_pseudogene	926
chr1	ENSG00000215864.5	NBPF7	unprocessed_pseudogene	1317
chr1	ENSG00000215866.6	LINC01356	lincRNA	763
chr1	ENSG00000215867.4	KRT18P57	processed_pseudogene	1253
chr1	ENSG00000215869.3	RP11-364B6.1	lincRNA	1223
chr1	ENSG00000215871.2	RP5-837M10.1	processed_pseudogene	813
chr1	ENSG00000215873.2	FEN1P1	processed_pseudogene	1144
chr1	ENSG00000215874.3	CAPNS1P1	processed_pseudogene	632
chr1	ENSG00000215875.4	ST13P20	transcribed_processed_pseudogene	1063
chr1	ENSG00000215883.8	CYB5RL	protein_coding	3408
chr1	ENSG00000215887.5	ZNF859P	unprocessed_pseudogene	1963
chr1	ENSG00000215893.3	RP4-635E8.1	processed_pseudogene	498
chr1	ENSG00000215895.4	RP11-334L9.1	processed_pseudogene	1959
chr1	ENSG00000215899.3	RP11-439L8.2	processed_pseudogene	1341
chr1	ENSG00000215900.4	SEPW1P	processed_pseudogene	250
chr1	ENSG00000215905.4	RP11-4M23.7	processed_pseudogene	326
chr1	ENSG00000215906.7	LACTBL1	protein_coding	1635
chr1	ENSG00000215908.6	CROCCP2	lincRNA	2755
chr1	ENSG00000215909.3	RP4-597A16.3	processed_pseudogene	369
chr1	ENSG00000215910.6	C1orf167	protein_coding	4524
chr1	ENSG00000215912.10	TTC34	protein_coding	3736
chr1	ENSG00000215914.4	MMP23A	unprocessed_pseudogene	1010
chr1	ENSG00000215915.8	ATAD3C	protein_coding	3847
chr1	ENSG00000215930.1	MIR942	miRNA	85
chr1	ENSG00000215938.2	MIR190B	miRNA	111
chr1	ENSG00000215952.1	MIR921	miRNA	55
chr1	ENSG00000216037.1	AL356479.1	miRNA	87
chr1	ENSG00000216045.2	AL356693.1	miRNA	88
chr1	ENSG00000216067.1	AC104457.1	miRNA	93
chr1	ENSG00000216109.1	AL713999.1	miRNA	88
chr1	ENSG00000216157.2	AL611946.1	miRNA	94
chr1	ENSG00000216162.1	AL121988.1	miRNA	83
chr1	ENSG00000217327.3	RPS7P5	processed_pseudogene	580
chr1	ENSG00000217644.5	RP4-803A2.1	processed_pseudogene	525
chr1	ENSG00000217801.8	RP11-465B22.3	transcribed_unprocessed_pseudogene	973
chr1	ENSG00000217897.2	HSPE1P8	processed_pseudogene	286
chr1	ENSG00000218283.2	MORF4L1P1	processed_pseudogene	966
chr1	ENSG00000218510.5	LINC00339	lincRNA	807
chr1	ENSG00000219073.6	CELA3B	protein_coding	889
chr1	ENSG00000219102.3	HNRNPA3P12	processed_pseudogene	1062
chr1	ENSG00000219133.2	RP11-203F10.6	processed_pseudogene	482
chr1	ENSG00000219201.4	RP11-181C21.4	processed_pseudogene	920
chr1	ENSG00000219481.9	NBPF1	protein_coding	5903
chr1	ENSG00000220323.3	HIST2H2BD	processed_pseudogene	492
chr1	ENSG00000220749.4	RPL21P28	processed_pseudogene	482
chr1	ENSG00000220785.6	MTMR9LP	transcribed_unprocessed_pseudogene	1872
chr1	ENSG00000221026.1	AL592063.1	miRNA	144
chr1	ENSG00000221028.1	MIR1231	miRNA	91
chr1	ENSG00000221032.3	AL590683.1	miRNA	113
chr1	ENSG00000221040.2	U3	snoRNA	215
chr1	ENSG00000221053.1	AC115286.1	miRNA	83
chr1	ENSG00000221083.1	SNORA77	snoRNA	124
chr1	ENSG00000221126.1	AC092265.1	miRNA	133
chr1	ENSG00000221165.1	AL359983.1	miRNA	85
chr1	ENSG00000221203.1	MIR1262	miRNA	92
chr1	ENSG00000221216.1	RNU6ATAC27P	snRNA	118
chr1	ENSG00000221222.1	AL139139.1	miRNA	147
chr1	ENSG00000221225.1	AL138837.1	miRNA	86
chr1	ENSG00000221290.1	MIR1182	miRNA	96
chr1	ENSG00000221340.1	RNU6ATAC18P	snRNA	100
chr1	ENSG00000221346.1	AL356458.1	miRNA	135
chr1	ENSG00000221390.1	MIR1295A	miRNA	78
chr1	ENSG00000221403.1	AC096633.1	miRNA	101
chr1	ENSG00000221406.1	MIR320B2	miRNA	137
chr1	ENSG00000221425.1	AL157904.1	miRNA	144
chr1	ENSG00000221447.1	AL591415.1	miRNA	84
chr1	ENSG00000221488.1	AC092017.1	miRNA	93
chr1	ENSG00000221539.1	SNORD99	snoRNA	73
chr1	ENSG00000221545.1	MIR1255B2	miRNA	66
chr1	ENSG00000221547.1	AL359853.1	miRNA	96
chr1	ENSG00000221550.2	AL645859.1	miRNA	99
chr1	ENSG00000221560.2	MIR1302-1	miRNA	129
chr1	ENSG00000221571.3	RNU6ATAC35P	lincRNA	443
chr1	ENSG00000221578.1	AL049798.1	miRNA	86
chr1	ENSG00000221591.1	AL161740.1	miRNA	82
chr1	ENSG00000221643.1	SNORA77	snoRNA	124
chr1	ENSG00000221655.2	AL354978.1	miRNA	91
chr1	ENSG00000221662.1	MIR1290	miRNA	77
chr1	ENSG00000221664.1	AC095030.1	miRNA	106
chr1	ENSG00000221673.2	U3	snoRNA	213
chr1	ENSG00000221680.1	MIR1278	miRNA	80
chr1	ENSG00000221683.1	AC104837.1	miRNA	100
chr1	ENSG00000221702.3	AL356270.1	miRNA	88
chr1	ENSG00000221707.2	AL592294.1	miRNA	89
chr1	ENSG00000221720.2	AC096951.1	miRNA	71
chr1	ENSG00000221733.1	AL109843.1	miRNA	87
chr1	ENSG00000221746.1	AL645730.1	miRNA	80
chr1	ENSG00000221777.1	AL160056.1	miRNA	114
chr1	ENSG00000221781.1	AL359815.1	miRNA	137
chr1	ENSG00000221798.1	AC092812.1	miRNA	86
chr1	ENSG00000221808.1	MIR1256	miRNA	118
chr1	ENSG00000221879.3	MRPS21P3	processed_pseudogene	261
chr1	ENSG00000221888.3	OR1C1	protein_coding	944
chr1	ENSG00000221953.5	C1orf229	lincRNA	2257
chr1	ENSG00000221978.10	CCNL2	protein_coding	2784
chr1	ENSG00000221986.5	MYBPHL	protein_coding	447
chr1	ENSG00000222009.7	BTBD19	protein_coding	1564
chr1	ENSG00000222046.2	DCDC2B	protein_coding	1340
chr1	ENSG00000222069.1	RN7SKP285	misc_RNA	317
chr1	ENSG00000222080.1	AL356310.1	miRNA	93
chr1	ENSG00000222112.1	RN7SKP16	misc_RNA	298
chr1	ENSG00000222120.1	RNA5SP81	rRNA	109
chr1	ENSG00000222209.1	RNA5SP56	rRNA	117
chr1	ENSG00000222222.1	RNU2-17P	snRNA	189
chr1	ENSG00000222240.1	RN7SKP156	misc_RNA	341
chr1	ENSG00000222282.1	RNU6-584P	snRNA	94
chr1	ENSG00000222370.1	SNORA36B	snoRNA	130
chr1	ENSG00000222378.1	RNA5SP44	rRNA	132
chr1	ENSG00000222397.1	RN7SKP229	misc_RNA	301
chr1	ENSG00000222399.1	RNU6-791P	snRNA	103
chr1	ENSG00000222407.1	RNA5SP80	rRNA	110
chr1	ENSG00000222457.1	RNU6-121P	snRNA	98
chr1	ENSG00000222511.2	Y_RNA	misc_RNA	102
chr1	ENSG00000222552.1	RNA5SP60	rRNA	86
chr1	ENSG00000222611.1	AL355388.1	miRNA	81
chr1	ENSG00000222623.1	RNU6-1100P	snRNA	103
chr1	ENSG00000222624.1	RNU2-15P	snRNA	190
chr1	ENSG00000222650.1	RNU2-70P	snRNA	178
chr1	ENSG00000222664.1	RN7SKP123	misc_RNA	290
chr1	ENSG00000222749.1	AL021398.1	miRNA	92
chr1	ENSG00000222784.1	RN7SKP91	misc_RNA	287
chr1	ENSG00000222787.1	AL645944.1	miRNA	103
chr1	ENSG00000222788.1	RNU2-38P	snRNA	78
chr1	ENSG00000222821.1	RNU4-27P	snRNA	138
chr1	ENSG00000222831.1	MIR1537	miRNA	60
chr1	ENSG00000222849.1	RNA5SP21	rRNA	95
chr1	ENSG00000222854.1	RNA5SP59	rRNA	109
chr1	ENSG00000222952.1	RNA5SP41	rRNA	100
chr1	ENSG00000222986.1	RNU5A-5P	snRNA	115
chr1	ENSG00000223009.2	AL136234.1	miRNA	88
chr1	ENSG00000223026.1	RN7SKP247	misc_RNA	307
chr1	ENSG00000223062.1	RNU6-1245P	snRNA	105
chr1	ENSG00000223075.1	RN7SKP126	misc_RNA	299
chr1	ENSG00000223119.1	RNU6-1139P	snRNA	105
chr1	ENSG00000223152.1	RNU4-88P	snRNA	85
chr1	ENSG00000223175.1	RNU4-61P	snRNA	106
chr1	ENSG00000223181.1	RNU6-1199P	snRNA	103
chr1	ENSG00000223229.1	RN7SKP270	misc_RNA	311
chr1	ENSG00000223254.1	Y_RNA	misc_RNA	106
chr1	ENSG00000223263.1	RNU6-387P	snRNA	104
chr1	ENSG00000223282.1	RN7SKP165	misc_RNA	355
chr1	ENSG00000223306.2	RNU6-1304P	snRNA	105
chr1	ENSG00000223307.2	AC119674.1	miRNA	85
chr1	ENSG00000223344.1	RP11-541F9.1	lincRNA	613
chr1	ENSG00000223345.3	HIST2H2BA	transcribed_unprocessed_pseudogene	750
chr1	ENSG00000223353.2	RP11-290P14.2	processed_pseudogene	789
chr1	ENSG00000223356.1	RP11-66D17.5	antisense	431
chr1	ENSG00000223375.1	RP11-224O19.5	processed_pseudogene	215
chr1	ENSG00000223382.3	RP1-65J11.1	lincRNA	1104
chr1	ENSG00000223390.1	RP11-91A18.4	antisense	760
chr1	ENSG00000223393.1	RP5-858B6.3	antisense	791
chr1	ENSG00000223396.2	RP11-134G8.5	lincRNA	2327
chr1	ENSG00000223416.3	RPS26P15	processed_pseudogene	347
chr1	ENSG00000223429.1	RP4-800M22.2	processed_pseudogene	840
chr1	ENSG00000223450.1	RP11-52I18.1	processed_pseudogene	370
chr1	ENSG00000223452.3	HMGN2P18	processed_pseudogene	269
chr1	ENSG00000223479.3	RP4-788P17.1	lincRNA	554
chr1	ENSG00000223489.1	NEFHP1	processed_pseudogene	2628
chr1	ENSG00000223490.2	CHCHD2P5	processed_pseudogene	399
chr1	ENSG00000223495.2	RP11-763B22.7	processed_pseudogene	317
chr1	ENSG00000223503.1	RP11-29H23.6	processed_pseudogene	661
chr1	ENSG00000223505.2	RP11-397P13.7	processed_pseudogene	327
chr1	ENSG00000223519.6	KIF28P	unitary_pseudogene	3028
chr1	ENSG00000223525.1	RABGAP1L-IT1	sense_intronic	735
chr1	ENSG00000223562.1	RP11-543B16.3	lincRNA	114
chr1	ENSG00000223570.2	RP11-275I14.2	processed_pseudogene	351
chr1	ENSG00000223575.2	RBMX2P3	processed_pseudogene	956
chr1	ENSG00000223583.1	RP3-476K8.4	processed_pseudogene	534
chr1	ENSG00000223589.2	RP5-884C9.3	processed_pseudogene	339
chr1	ENSG00000223599.1	RP11-216N14.7	processed_pseudogene	1308
chr1	ENSG00000223603.1	CRPP1	unprocessed_pseudogene	624
chr1	ENSG00000223612.3	RP11-289I10.2	processed_pseudogene	518
chr1	ENSG00000223624.1	RP1-125I3.4	processed_pseudogene	139
chr1	ENSG00000223635.1	RP4-613A2.1	antisense	588
chr1	ENSG00000223643.5	RP11-108M9.1	lincRNA	551
chr1	ENSG00000223649.1	RP11-359E8.3	lincRNA	489
chr1	ENSG00000223653.4	RP11-131L23.1	antisense	1945
chr1	ENSG00000223656.1	HMGB3P10	processed_pseudogene	570
chr1	ENSG00000223659.1	RP5-857K21.5	lincRNA	799
chr1	ENSG00000223663.2	RP5-890O3.3	processed_pseudogene	366
chr1	ENSG00000223675.1	RP11-86H7.6	lincRNA	2169
chr1	ENSG00000223683.1	AL138935.1	processed_pseudogene	594
chr1	ENSG00000223694.1	ADH5P3	processed_pseudogene	1136
